TIME;Code 2021;AGE;VALUE;GENDER
2021;CZ010;From 65 to 69 years;40617;Females
2019;CZ010;Less than 5 years;36572;Females
2019;CZ010;From 5 to 9 years;34544;Females
2019;CZ010;From 10 to 14 years;29531;Females
2019;CZ010;From 15 to 19 years;23132;Females
2019;CZ010;From 20 to 24 years;27649;Females
2019;CZ010;From 25 to 29 years;42448;Females
2019;CZ010;From 30 to 34 years;53911;Females
2019;CZ010;From 35 to 39 years;56953;Females
2019;CZ010;From 40 to 44 years;60478;Females
2019;CZ010;From 45 to 49 years;45730;Females
2019;CZ010;From 50 to 54 years;40171;Females
2019;CZ010;From 55 to 59 years;35876;Females
2019;CZ010;From 60 to 64 years;38837;Females
2019;CZ010;From 65 to 69 years;41262;Females
2019;CZ010;From 70 to 74 years;41186;Females
2019;CZ010;From 75 to 79 years;26438;Females
2019;CZ010;From 80 to 84 years;16776;Females
2019;CZ010;From 85 to 89 years;12493;Females
2019;CZ010;85 years or over;19129;Females
2019;CZ010;90 years or over;6636;Females
2020;CZ010;Less than 5 years;36511;Females
2020;CZ010;From 5 to 9 years;34696;Females
2020;CZ010;From 10 to 14 years;31582;Females
2020;CZ010;From 15 to 19 years;24400;Females
2020;CZ010;From 20 to 24 years;27132;Females
2020;CZ010;From 25 to 29 years;41219;Females
2020;CZ010;From 30 to 34 years;53856;Females
2020;CZ010;From 35 to 39 years;55918;Females
2020;CZ010;From 40 to 44 years;61297;Females
2020;CZ010;From 45 to 49 years;49464;Females
2020;CZ010;From 50 to 54 years;39570;Females
2020;CZ010;From 55 to 59 years;37758;Females
2020;CZ010;From 60 to 64 years;36571;Females
2020;CZ010;From 65 to 69 years;41189;Females
2020;CZ010;From 70 to 74 years;40673;Females
2020;CZ010;From 75 to 79 years;29490;Females
2020;CZ010;From 80 to 84 years;16689;Females
2020;CZ010;From 85 to 89 years;12185;Females
2020;CZ010;85 years or over;18976;Females
2020;CZ010;90 years or over;6791;Females
2021;CZ010;Less than 5 years;36030;Females
2021;CZ010;From 5 to 9 years;34600;Females
2021;CZ010;From 10 to 14 years;33113;Females
2021;CZ010;From 15 to 19 years;25513;Females
2021;CZ010;From 20 to 24 years;27302;Females
2021;CZ010;From 25 to 29 years;39764;Females
2021;CZ010;From 30 to 34 years;53746;Females
2021;CZ010;From 35 to 39 years;55992;Females
2021;CZ010;From 40 to 44 years;60673;Females
2021;CZ010;From 45 to 49 years;52830;Females
2021;CZ010;From 50 to 54 years;39902;Females
2021;CZ010;From 55 to 59 years;39014;Females
2021;CZ010;From 60 to 64 years;34733;Females
2021;CZ010;From 70 to 74 years;40536;Females
2021;CZ010;From 75 to 79 years;31325;Females
2021;CZ010;From 80 to 84 years;17230;Females
2021;CZ010;From 85 to 89 years;11608;Females
2021;CZ010;85 years or over;18510;Females
2021;CZ010;90 years or over;6902;Females
2019;CZ010;Less than 5 years;38664;Males
2019;CZ010;From 5 to 9 years;36306;Males
2019;CZ010;From 10 to 14 years;31051;Males
2019;CZ010;From 15 to 19 years;24248;Males
2019;CZ010;From 20 to 24 years;27456;Males
2019;CZ010;From 25 to 29 years;42320;Males
2019;CZ010;From 30 to 34 years;54635;Males
2019;CZ010;From 35 to 39 years;59221;Males
2019;CZ010;From 40 to 44 years;63915;Males
2019;CZ010;From 45 to 49 years;48645;Males
2019;CZ010;From 50 to 54 years;40632;Males
2019;CZ010;From 55 to 59 years;34441;Males
2019;CZ010;From 60 to 64 years;34168;Males
2019;CZ010;From 65 to 69 years;33735;Males
2019;CZ010;From 70 to 74 years;30699;Males
2019;CZ010;From 75 to 79 years;18764;Males
2019;CZ010;From 80 to 84 years;10017;Males
2019;CZ010;From 85 to 89 years;6368;Males
2019;CZ010;85 years or over;9092;Males
