TIME;Code 2021;AGE;VALUE;GENDER
2014;CZ010;From 5 to 9 years;29480;Females
2014;CZ010;From 10 to 14 years;21151;Females
2014;CZ010;From 15 to 19 years;22155;Females
2014;CZ010;From 20 to 24 years;33739;Females
2014;CZ010;From 25 to 29 years;44200;Females
2014;CZ010;From 30 to 34 years;53866;Females
2014;CZ010;From 35 to 39 years;60140;Females
2014;CZ010;From 40 to 44 years;45584;Females
2014;CZ010;From 45 to 49 years;40507;Females
2014;CZ010;From 50 to 54 years;36802;Females
2014;CZ010;From 55 to 59 years;40945;Females
2014;CZ010;From 60 to 64 years;44222;Females
2014;CZ010;From 65 to 69 years;44947;Females
2014;CZ010;From 70 to 74 years;29967;Females
2014;CZ010;From 75 to 79 years;20905;Females
2014;CZ010;From 80 to 84 years;19417;Females
2014;CZ010;From 85 to 89 years;12437;Females
2014;CZ010;90 years or over;5398;Females
2015;CZ010;Less than 5 years;34981;Females
2015;CZ010;From 5 to 9 years;31713;Females
2015;CZ010;From 10 to 14 years;22163;Females
2015;CZ010;From 15 to 19 years;21951;Females
2015;CZ010;From 20 to 24 years;33198;Females
2015;CZ010;From 25 to 29 years;44436;Females
2015;CZ010;From 30 to 34 years;52921;Females
2015;CZ010;From 35 to 39 years;60939;Females
2015;CZ010;From 40 to 44 years;49447;Females
2015;CZ010;From 45 to 49 years;40087;Females
2015;CZ010;From 50 to 54 years;38821;Females
2015;CZ010;From 55 to 59 years;38608;Females
2015;CZ010;From 60 to 64 years;43991;Females
2015;CZ010;From 65 to 69 years;44287;Females
2015;CZ010;From 70 to 74 years;33363;Females
2015;CZ010;From 75 to 79 years;20757;Females
2015;CZ010;From 80 to 84 years;18846;Females
2015;CZ010;From 85 to 89 years;12373;Females
2015;CZ010;90 years or over;5821;Females
2016;CZ010;Less than 5 years;35033;Females
2016;CZ010;From 5 to 9 years;33281;Females
2016;CZ010;From 10 to 14 years;23481;Females
2016;CZ010;From 15 to 19 years;21973;Females
2016;CZ010;From 20 to 24 years;31512;Females
2016;CZ010;From 25 to 29 years;44081;Females
2016;CZ010;From 30 to 34 years;52592;Females
2016;CZ010;From 35 to 39 years;60200;Females
2016;CZ010;From 40 to 44 years;52707;Females
2016;CZ010;From 45 to 49 years;40336;Females
2016;CZ010;From 50 to 54 years;40026;Females
2016;CZ010;From 55 to 59 years;36538;Females
2016;CZ010;From 60 to 64 years;43373;Females
2016;CZ010;From 65 to 69 years;44177;Females
2016;CZ010;From 70 to 74 years;35473;Females
2016;CZ010;From 75 to 79 years;21395;Females
2016;CZ010;From 80 to 84 years;17954;Females
2016;CZ010;From 85 to 89 years;12590;Females
2016;CZ010;90 years or over;6058;Females
2017;CZ010;Less than 5 years;35764;Females
2017;CZ010;From 5 to 9 years;34066;Females
2017;CZ010;From 10 to 14 years;25168;Females
2017;CZ010;From 15 to 19 years;22149;Females
2017;CZ010;From 20 to 24 years;29837;Females
2017;CZ010;From 25 to 29 years;44073;Females
2017;CZ010;From 30 to 34 years;53181;Females
2017;CZ010;From 35 to 39 years;59141;Females
2017;CZ010;From 40 to 44 years;55573;Females
2017;CZ010;From 45 to 49 years;41414;Females
2017;CZ010;From 50 to 54 years;40689;Females
2017;CZ010;From 55 to 59 years;35296;Females
2017;CZ010;From 60 to 64 years;42253;Females
2017;CZ010;From 65 to 69 years;42705;Females
2017;CZ010;From 70 to 74 years;38835;Females
2017;CZ010;From 75 to 79 years;22374;Females
2017;CZ010;From 80 to 84 years;17391;Females
2017;CZ010;From 85 to 89 years;12700;Females
2017;CZ010;90 years or over;6334;Females
2018;CZ010;Less than 5 years;36016;Females
2018;CZ010;From 5 to 9 years;34758;Females
2018;CZ010;From 10 to 14 years;27217;Females
2018;CZ010;From 15 to 19 years;22424;Females
2018;CZ010;From 20 to 24 years;28756;Females
2018;CZ010;From 25 to 29 years;43486;Females
