Code 2021;NUTS level;NUTS level 3;NUTS level 2;NUTS level 1
CZ0;1;Extra-Regio NUTS 3;Extra-Regio NUTS 2;Cesko
CZ063;3;Kraj Vysocina;Jihovychod;Cesko
CZ064;3;Jihomoravsky kraj;Jihovychod;Cesko
CZ06;2;Pardubicky kraj;Jihovychod;Cesko
CZ031;3;Jihocesky kraj;Jihozapad;Cesko
CZ032;3;Plzensky kraj;Jihozapad;Cesko
CZ03;2;Stredocesky kraj;Jihozapad;Cesko
CZ080;3;Moravskoslezsky kraj;Moravskoslezsko;Cesko
CZ08;2;Zlinsky kraj;Moravskoslezsko;Cesko
CZ010;3;Hlavni mesto Praha;Praha;Cesko
CZ01;2;Extra-Regio NUTS 3;Praha;Cesko
CZ051;3;Liberecky kraj;Severovychod;Cesko
CZ052;3;Kralovehradecky kraj;Severovychod;Cesko
CZ053;3;Pardubicky kraj;Severovychod;Cesko
CZ05;2;Ustecky kraj;Severovychod;Cesko
CZ041;3;Karlovarsky kraj;Severozapad;Cesko
CZ042;3;Ustecky kraj;Severozapad;Cesko
CZ04;2;Plzensky kraj;Severozapad;Cesko
CZ020;3;Stredocesky kraj;Stredni Cechy;Cesko
CZ02;2;Hlavni město Praha;Stredni Cechy;Cesko
CZ071;3;Olomoucky kraj;Stredni Cechy;Cesko
CZ072;3;Zlinsky kraj;Stredni Morava;Cesko
CZ07;2;Jihomoravsky kraj;Stredny Morava;Cesko
CZZZZ;3;Extra-Regio NUTS 3;Extra-Regio NUTS 2;Extra-Regio NUTS 1
CZZZ;2;Moravskoslezsky kraj;Extra-Regio NUTS 2;Extra-Regio NUTS 1
CZ;0;Extra-Regio NUTS 3;Extra-Regio NUTS 2;Extra-Regio NUTS 1
CZZ;1;Moravskoslezsky kraj;Moravskoslezsko;Extra-Regio NUTS 1
